timestamp,dispositivo,evento,estado_origem,estado_destino
2025-09-16 12:45:49.441354,Luz da sala,COR ALTERADA,CorLuz.NEUTRA,QUENTE
2025-09-16 12:45:49.444328,Luz da sala,desligar,EstadoLuz.ON,EstadoLuz.OFF
2025-09-16 12:45:54.916817,Porta da Frente,destrancar,EstadoPorta.TRANCADA,EstadoPorta.DESTRANCADA
2025-09-16 12:45:54.917712,Porta da Frente,abrir,EstadoPorta.DESTRANCADA,EstadoPorta.ABERTA
2025-09-16 12:45:54.918504,Porta da Frente,trancar,EstadoPorta.ABERTA,EstadoPorta.ABERTA
2025-09-16 12:45:54.919493,Porta da Frente,fechar,EstadoPorta.ABERTA,EstadoPorta.DESTRANCADA
2025-09-16 12:45:54.920370,Porta da Frente,trancar,EstadoPorta.DESTRANCADA,EstadoPorta.TRANCADA
2025-09-16 12:45:59.804449,Tomada de tv sala,LIGAR,EstadoTomada.OFF,
2025-09-16 12:45:59.826545,Tomada de tv sala,ligar,EstadoTomada.ON,EstadoTomada.OFF
2025-09-16 12:50:52.372552,Sala,abrir,FECHADA,ABERTA
2025-09-16 12:50:52.373734,Sala,fechar,ABERTA,FECHADA
2025-09-16 12:50:52.374717,Sala,abrir,FECHADA,ABERTA
2025-09-16 12:50:52.375453,Sala,abrir,LuminosidadePersiana.ESCURA,CLARO
2025-09-16 12:50:52.375453,Sala,abrir,LuminosidadePersiana.CLARO,ESCURA
,,,,
2025-09-16T13:37:44.447891,Aspirador Dory,iniciar_limpeza,LIGADO,LIMPEZA
2025-09-16T13:37:44.448829,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:37:44.449906,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:37:44.450893,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:37:44.452206,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:37:44.453674,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:37:44.454960,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:37:44.456040,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:37:44.457331,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:37:44.458514,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:37:44.460330,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:37:44.461370,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:38:43.444226,Aspirador Dory,iniciar_limpeza,LIGADO,LIMPEZA
2025-09-16T13:38:43.444917,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:38:43.445812,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:38:43.446464,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:38:43.447474,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:38:43.448234,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:38:43.449241,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:38:43.450040,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:38:43.450998,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:38:43.451643,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:38:43.452510,Aspirador Dory,iniciar_limpeza,LIMPEZA,LIMPEZA
2025-09-16T13:38:43.453377,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:45:01.097274,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:46:10.121764,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:47:50.963178,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:49:16.198884,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:49:16.200055,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:49:49.386744,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T13:49:49.388238,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:04:39.221052,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:04:39.222033,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:06:20.923691,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:06:20.924730,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:07:33.854086,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:07:33.855618,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:07:48.776025,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:07:48.777010,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:10:12.688379,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:10:12.689643,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:14:49.537788,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:14:49.539319,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:19:17.908709,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:19:17.909753,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:19:35.539726,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:19:35.540835,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:19:46.609865,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:19:46.610898,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:20:47.477770,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:20:47.478864,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:21:39.499157,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:21:39.500564,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:22:13.656185,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:24:03.967552,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:24:46.023438,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:29:40.788804,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:31:42.923852,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:33:03.171489,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:33:03.172963,Aspirador Dory,iniciar_limpeza,LIGADO,LIMPEZA
2025-09-16T14:33:03.173877,Aspirador Dory,iniciar_limpeza,LIGADO,LIMPEZA
2025-09-16T14:34:48.980205,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:34:48.981699,Aspirador Dory,iniciar_limpeza,LIGADO,LIMPEZA
2025-09-16T14:34:48.982997,Aspirador Dory,iniciar_limpeza,LIGADO,LIMPEZA
2025-09-16T14:34:48.984128,Aspirador Dory,LIMPANDO SALA,LIMPEZA - BASE,LIMPEZA - SALA
2025-09-16T14:34:48.985408,Aspirador Dory,LIMPANDO COZINHA,LIMPEZA - BASE,LIMPEZA - COZINHA
2025-09-16T14:34:48.987299,Aspirador Dory,LIMPANDO QUARTO,LIMPEZA - BASE,LIMPEZA - QUARTO
2025-09-16T14:34:48.989269,Aspirador Dory,LIMPANDO BANHEIRO,LIMPEZA - BASE,LIMPEZA - BANHEIRO
2025-09-16T14:34:48.991043,Aspirador Dory,LIMPANDO ESCRITORIO,LIMPEZA - BASE,LIMPEZA - ESCRITORIO
2025-09-16T14:34:48.992745,Aspirador Dory,LIMPANDO BASE,LIMPEZA - BASE,LIMPEZA - BASE
2025-09-16T14:34:48.997226,Aspirador Dory,carga_completa,CARREGANDO,LIGADO
2025-09-16T14:34:48.998781,Aspirador Dory,iniciar_carregamento,RETORNANDO_BASE,CARREGANDO
,,,,
2025-09-16T14:36:45.475136,Aspirador Dory,ligar,DESLIGADO,LIGADO
2025-09-16T14:36:45.476487,Aspirador Dory,iniciar_limpeza,LIGADO,LIMPEZA
2025-09-16T14:36:45.477312,Aspirador Dory,iniciar_limpeza,LIGADO,LIMPEZA
2025-09-16T14:36:45.478233,Aspirador Dory,LIMPANDO SALA,LIMPEZA - BASE,LIMPEZA - SALA
2025-09-16T14:36:45.479187,Aspirador Dory,LIMPANDO COZINHA,LIMPEZA - BASE,LIMPEZA - COZINHA
2025-09-16T14:36:45.480087,Aspirador Dory,LIMPANDO QUARTO,LIMPEZA - BASE,LIMPEZA - QUARTO
2025-09-16T14:36:45.480854,Aspirador Dory,LIMPANDO BANHEIRO,LIMPEZA - BASE,LIMPEZA - BANHEIRO
2025-09-16T14:36:45.481638,Aspirador Dory,LIMPANDO ESCRITORIO,LIMPEZA - BASE,LIMPEZA - ESCRITORIO
2025-09-16T14:36:45.482791,Aspirador Dory,LIMPANDO BASE,LIMPEZA - BASE,LIMPEZA - BASE
2025-09-16T14:36:45.483990,Aspirador Dory,iniciar_carregamento,RETORNANDO_BASE,CARREGANDO
2025-09-16T14:36:45.484899,Aspirador Dory,carga_completa,CARREGANDO,LIGADO
,,,,
2025-09-16T15:44:03.827469,Irrigador Jardim,ligar,OFF,ON
2025-09-16T15:44:03.831740,Irrigador Jardim,iniciar_irrigacao,ON,IRRIGANDO
2025-09-16T15:44:03.832819,Irrigador Jardim,parar_irrigacao,IRRIGANDO,ON
2025-09-16T15:44:03.833632,Irrigador Jardim,parar_irrigacao,IRRIGANDO,ON
2025-09-16T15:44:03.834911,Irrigador Jardim,desligar,ON,OFF
